titolo,nome_autore,numero_pagine,prezzo,casa_editrice
il destino di un re,kenneth perez,187,16.0,Laterza
oltre l'orizzonte,mr. john harper,128,21.09,Laterza
tra le pieghe del destino,lucia mazzoni,187,29.37,Mondadori
l'eco dei ricordi,arthur meadows,349,19.2,Einaudi
oltre il confine,luca neri,129,15.4,Laterza
le ombre del passato,anthony curry,334,23.53,Mondadori
tra le pieghe del destino,andrew parsons,174,20.74,Feltrinelli
nel cuore della foresta,yvonne stevens,106,22.45,Laterza
il cuore della tempesta,marisa white,471,14.47,Feltrinelli
oltre l'orizzonte,ronald cox,249,23.3,Laterza
la città nascosta,mario verdi,400,14.62,Rizzoli
oltre il mare,kenneth perez,103,19.77,Mondadori
il risveglio delle tenebre,samuel fox,213,13.02,Laterza
la strada per il cielo,ronald cox,210,17.86,Rizzoli
il canto del fiume,krista figueroa,299,24.46,Laterza
la luna d'inverno,julie chandler,409,10.66,Laterza
nel cuore della foresta,arthur meadows,395,25.57,Adelphi
il destino di un re,mario verdi,179,29.65,Einaudi
la strada per il cielo,david williams,315,24.23,Rizzoli
le ombre del passato,bryan ward,205,19.74,Rizzoli
l'ultimo respiro,melanie miller,415,19.73,Laterza
il canto del vento,marisa white,165,19.07,Mondadori
il sogno infranto,james oneal,186,14.03,Laterza
oltre il confine,trevor escobar,486,13.98,Adelphi
il canto del vento,candice garcia,347,14.01,Mondadori
il segreto della montagna,luca neri,277,11.1,Mondadori
nel cuore della foresta,mario verdi,212,21.71,Einaudi
la torre del silenzio,evan jackson,275,13.05,Einaudi
l'ultimo cavaliere,luca neri,259,29.05,Feltrinelli
le lacrime del cielo,diane simpson,349,28.32,Laterza
l'ombra del futuro,yvonne stevens,204,13.62,Laterza
le ombre del passato,lindsay deleon,132,28.61,Feltrinelli
il segreto della montagna,james oneal,221,14.36,Mondadori
oltre il confine,luca neri,147,26.67,Mondadori
l'ultimo respiro,pablito pal,274,15.41,Laterza
l'ultimo cavaliere,matthew randolph,124,15.2,Feltrinelli
la voce del vento,diane simpson,448,11.89,Laterza
la luna d'inverno,ronald cox,365,26.67,Laterza
tra le pieghe del destino,evan jackson,198,13.75,Feltrinelli
oltre l'orizzonte,cory martinez,176,26.84,Feltrinelli
la strada per il cielo,richard miller,305,25.13,Rizzoli
il labirinto del passato,arthur meadows,189,22.04,Laterza
le ombre del passato,trevor escobar,350,15.67,Rizzoli
il mistero della luna,eric reed,368,27.59,Rizzoli
la verità nascosta,melanie miller,407,29.71,Einaudi
il destino di un re,bryan ward,276,11.33,Feltrinelli
le lacrime del cielo,julie chandler,282,14.24,Adelphi
il ponte dei ricordi,eric reed,157,16.73,Einaudi
il giardino dei sogni,samuel fox,419,16.09,Mondadori
l'ombra del futuro,david hicks,293,25.71,Adelphi
la terra degli eroi,james oneal,251,28.4,Feltrinelli
il risveglio delle tenebre,krista figueroa,297,10.49,Einaudi
oltre l'orizzonte,lindsay deleon,141,13.0,Feltrinelli
il canto del fiume,mr. john harper,406,20.16,Mondadori
nel cuore della foresta,mr. peter ward dvm,459,13.26,Mondadori
tra le pieghe del destino,julie chandler,318,24.28,Rizzoli
il canto del vento,arthur meadows,177,21.2,Einaudi
il sogno infranto,trevor escobar,158,29.1,Adelphi
il richiamo delle stelle,james oneal,222,18.59,Mondadori
la strada per il cielo,james oneal,193,16.72,Einaudi
i segreti del tempo,matthew randolph,371,12.16,Einaudi
il richiamo delle stelle,diane simpson,297,20.22,Einaudi
la notte degli spiriti,ronald oliver,407,16.52,Feltrinelli
le ombre del passato,kenneth perez,222,27.88,Einaudi
il segreto della montagna,james oneal,397,16.5,Feltrinelli
il custode del tempo,yvonne stevens,307,20.25,Mondadori
la città nascosta,bryan ward,491,28.72,Einaudi
i segreti del tempo,david hicks,110,23.9,Laterza
il destino di un re,anthony curry,248,11.11,Feltrinelli
la verità nascosta,ronald cox,363,26.07,Einaudi
l'eco dei ricordi,samuel fox,152,18.88,Adelphi
la luna d'inverno,evan jackson,203,17.14,Rizzoli
la danza delle stelle,andrew parsons,331,21.01,Laterza
oltre il confine,virginia grant,217,16.02,Rizzoli
la città nascosta,candice garcia,235,19.84,Einaudi
il canto del vento,benjamin pena,153,12.75,Laterza
la voce del vento,yvonne stevens,321,13.5,Rizzoli
il mistero della luna,david hicks,485,20.27,Einaudi
sotto il sole di mezzanotte,kenneth perez,106,11.88,Adelphi
l'eco dei ricordi,mario verdi,382,16.2,Mondadori
il cuore della tempesta,melanie miller,390,12.42,Laterza
il sogno infranto,david williams,389,26.73,Adelphi
il ponte dei ricordi,eric reed,431,29.84,Mondadori
il mistero della luna,melanie miller,394,29.82,Mondadori
sotto il sole di mezzanotte,matthew randolph,352,28.88,Feltrinelli
il destino di un re,matthew randolph,189,19.59,Laterza
il viaggio della fenice,samuel fox,169,21.85,Adelphi
la verità nascosta,candice garcia,238,29.62,Einaudi
il viaggio della fenice,andrew parsons,240,13.76,Rizzoli
il risveglio delle tenebre,evan jackson,382,11.54,Feltrinelli
il destino di un re,diane simpson,217,21.84,Laterza
oltre l'orizzonte,julie chandler,391,18.85,Einaudi
la notte degli spiriti,james oneal,231,22.44,Feltrinelli
la danza delle stelle,arthur meadows,230,20.07,Laterza
la verità nascosta,virginia grant,457,28.28,Adelphi
il labirinto del passato,samuel fox,292,21.95,Mondadori
l'ultimo respiro,julie chandler,290,10.0,Mondadori
i sentieri dell'anima,bryan ward,120,10.15,Rizzoli
la voce del vento,james oneal,393,11.5,Rizzoli
l'eco dei ricordi,david hicks,432,17.98,Einaudi
i segreti del tempo,lindsay deleon,252,24.25,Laterza
l'ultima speranza,andrew parsons,120,23.32,Mondadori
il segreto della montagna,ronald cox,341,14.86,Einaudi
la strada per il cielo,lindsay deleon,356,22.18,Adelphi
nel cuore della foresta,melanie miller,363,27.8,Rizzoli
oltre il confine,ronald oliver,250,25.03,Einaudi
l'ultimo respiro,lindsay deleon,413,27.59,Einaudi
la voce del vento,andrew parsons,197,14.22,Rizzoli
sotto il sole di mezzanotte,ronald oliver,431,24.12,Laterza
la verità nascosta,matthew randolph,153,21.95,Adelphi
il viaggio nel silenzio,david hicks,460,26.13,Rizzoli
la verità nascosta,bryan ward,146,28.42,Rizzoli
il risveglio delle tenebre,virginia grant,430,13.8,Feltrinelli
il richiamo delle stelle,kenneth perez,163,21.26,Mondadori
la strada per il cielo,ronald oliver,453,16.84,Feltrinelli
il mistero della luna,eric reed,205,22.23,Mondadori
la luna d'inverno,virginia grant,362,24.43,Mondadori
l'eco dei ricordi,ronald oliver,189,21.45,Laterza
i segreti del tempo,james oneal,142,12.4,Mondadori
la danza delle stelle,mario verdi,488,17.76,Feltrinelli
l'ultimo respiro,evan jackson,206,19.51,Laterza
il mistero della luna,ronald oliver,363,12.85,Einaudi
il canto del fiume,mr. john harper,117,13.91,Laterza
il viaggio della fenice,david williams,457,19.75,Einaudi
i sentieri dell'anima,lindsay deleon,265,11.97,Laterza
il ponte dei ricordi,matthew randolph,338,12.83,Rizzoli
tra le pieghe del destino,benjamin pena,384,17.44,Rizzoli
la terra degli eroi,virginia grant,453,12.92,Einaudi
la città nascosta,pablito pal,223,15.33,Feltrinelli
il destino di un re,david williams,283,11.39,Einaudi
l'eco dei ricordi,marisa white,270,28.62,Feltrinelli
il viaggio della fenice,yvonne stevens,183,19.99,Feltrinelli
il mistero della luna,eric reed,110,23.93,Rizzoli
l'ultimo respiro,benjamin pena,173,22.48,Laterza
nel cuore della foresta,luca neri,233,13.8,Einaudi
oltre l'orizzonte,trevor escobar,368,28.46,Laterza
l'ultimo cavaliere,lindsay deleon,451,25.89,Einaudi
la luna d'inverno,pablito pal,317,25.9,Laterza
l'ombra del futuro,james oneal,200,14.58,Laterza
la voce del vento,ronald cox,110,29.65,Rizzoli
la torre del silenzio,david williams,141,29.03,Feltrinelli
le lacrime del cielo,arthur meadows,353,23.91,Rizzoli
il ponte dei ricordi,arthur meadows,212,13.14,Rizzoli
l'ultima speranza,diane simpson,391,23.55,Feltrinelli
il giardino dei sogni,mark anderson,432,19.65,Adelphi
il custode del tempo,melanie miller,405,13.77,Laterza
nel cuore della foresta,mark anderson,380,24.97,Feltrinelli
il canto del fiume,pablito pal,332,14.03,Laterza
l'ultimo respiro,lindsay deleon,438,25.8,Feltrinelli
la luce tra le ombre,mark anderson,173,25.32,Feltrinelli
oltre il confine,ronald cox,204,28.53,Rizzoli
il destino di un re,bryan ward,315,11.72,Mondadori
l'ultimo respiro,diane simpson,397,26.45,Mondadori
l'eco dei ricordi,andrew parsons,242,28.13,Einaudi
il labirinto del passato,anthony curry,408,10.6,Feltrinelli
oltre il mare,pablito pal,427,15.7,Mondadori
tra le pieghe del destino,andrew parsons,176,20.49,Rizzoli
l'ultima speranza,arthur meadows,253,20.88,Adelphi
oltre il mare,arthur meadows,207,24.85,Rizzoli
il mistero della luna,krista figueroa,362,15.6,Mondadori
nel cuore della foresta,trevor escobar,141,11.11,Rizzoli
il richiamo delle stelle,candice garcia,495,23.22,Adelphi
l'ultimo respiro,krista figueroa,160,11.85,Rizzoli
il cuore della tempesta,luca neri,187,26.35,Rizzoli
la verità nascosta,eric reed,449,21.55,Laterza
